"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140014","mitotic nuclear division","10/47","282/18986",0.0354609929078014,14.3247321563302,11.2303037480327,1.42147352316643e-09,1.83796526545419e-06,1.34067397553381e-06,"NEK2/KIF4A/PKMYT1/UBE2C/CDC25C/TPX2/NUF2/UHRF1/SPC25/CDK1",10
"GO:0000070","mitotic sister chromatid segregation","8/47","194/18986",0.0412371134020619,16.6580390436499,10.9201207947108,2.29944492607845e-08,1.48659114470972e-05,1.08436981777173e-05,"NEK2/KIF4A/UBE2C/TPX2/NUF2/UHRF1/SPC25/CDK1",8
"GO:0000819","sister chromatid segregation","8/47","235/18986",0.0340425531914894,13.751742870077,9.79866632414016,1.01446655543972e-07,3.94696639108063e-05,2.87905066667338e-05,"NEK2/KIF4A/UBE2C/TPX2/NUF2/UHRF1/SPC25/CDK1",8
"GO:0000280","nuclear division","10/47","451/18986",0.0221729490022173,8.95692786715101,8.51948032830895,1.2210259523838e-07,3.94696639108063e-05,2.87905066667338e-05,"NEK2/KIF4A/PKMYT1/UBE2C/CDC25C/TPX2/NUF2/UHRF1/SPC25/CDK1",10
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","7/47","167/18986",0.0419161676646707,16.9323480698178,10.3018555942487,1.67990426408381e-07,4.34423242692073e-05,3.16882993814546e-05,"NEK2/KIF4A/TPX2/NUF2/UHRF1/SPC25/CDK1",7
"GO:0007088","regulation of mitotic nuclear division","6/47","121/18986",0.0495867768595041,20.0309477756286,10.4616552794126,5.12969868442035e-07,0.000110545006649259,8.06352635305374e-05,"NEK2/PKMYT1/UBE2C/CDC25C/NUF2/SPC25",6
"GO:0007059","chromosome segregation","9/47","429/18986",0.020979020979021,8.4746317512275,7.8008202582092,8.9891879840959e-07,0.000151155635217764,0.000110258028375558,"NEK2/KIF4A/UBE2C/TPX2/NUF2/UHRF1/SPC25/HJURP/CDK1",9
"GO:0007052","mitotic spindle organization","6/47","134/18986",0.0447761194029851,18.0876468720229,9.88852809472435,9.3522434782839e-07,0.000151155635217764,0.000110258028375558,"NEK2/KIF4A/TPX2/NUF2/UHRF1/SPC25",6
"GO:0098813","nuclear chromosome segregation","8/47","324/18986",0.0246913580246914,9.97425794588915,8.11647898424089,1.16256682814884e-06,0.000167022100977384,0.000121831564680861,"NEK2/KIF4A/UBE2C/TPX2/NUF2/UHRF1/SPC25/CDK1",8
"GO:0051783","regulation of nuclear division","6/47","151/18986",0.0397350993377483,16.0512892771594,9.25028411138233,1.87963333951204e-06,0.000243036590798906,0.000177279102337135,"NEK2/PKMYT1/UBE2C/CDC25C/NUF2/SPC25",6
"GO:0008608","attachment of spindle microtubules to kinetochore","4/47","54/18986",0.0740740740740741,29.9227738376675,10.6026464844013,9.51917730155655e-06,0.00111893602281024,0.000816189747578437,"NEK2/NUF2/SPC25/CDK1",4
"GO:0007051","spindle organization","6/47","204/18986",0.0294117647058824,11.8811013767209,7.78381902261481,1.06351304657374e-05,0.0011459353076832,0.00083588393835971,"NEK2/KIF4A/TPX2/NUF2/UHRF1/SPC25",6
"GO:0022411","cellular component disassembly","8/47","450/18986",0.0177777777777778,7.18146572104019,6.61097354734584,1.30765510581913e-05,0.00130061388601856,0.000948711720497115,"MMP11/TPX2/ACVR1C/GSN/CFL2/MMP13/CDK1/SPTBN1",8
"GO:0044772","mitotic cell cycle phase transition","8/47","467/18986",0.0171306209850107,6.92004191534922,6.45282910866528,1.70878387963472e-05,0.00157818396883406,0.00115118071891181,"FHL1/PKMYT1/IQGAP3/UBE2C/CDC25C/NUF2/SPC25/CDK1",8
